Feature name,HCPTotal,ExTotal,ExSupra,ExInfra,ExSupraTotal,ExSupraInfra
L1L3Genes,0.34014506712490755,0.020545533409677658,0.3315403365950357,0.7216831848649206,0.05552378276973452,0.7339774706158557
L4L6Genes,2.761247190175737e-20,4.788571833021582e-12,0.41504038379819386,1.4389234324319495e-09,0.06935696157988377,0.09030831630181411
L1L3ITGenes,6.33451276597791e-08,0.0005886277145474721,0.8946767789445196,0.009471835691647019,0.3973323697157012,0.06892827994777737
L4L6ITGenes,8.951764953276036e-23,1.841029384549911e-07,0.684633221685554,1.8763575934448586e-08,0.007878308975431124,0.34826594695523316
HSEGenes,0.002116141960756858,0.8293350029610035,0.033192436926634296,0.0009425464306255202,0.3247047142004217,0.001846837897448936
