Feature name,HCPTotal,ExTotal,ExSupra,ExInfra,ExSupraTotal,ExSupraInfra
PVALB,4.645547370203307e-05,0.030347638235866812,0.07535964560991035,0.0003423870496280855,0.1835444918243164,0.057237452366119795
SST,4.657968349907892e-22,5.857244980471906e-08,0.8732601346446565,5.033731405117659e-08,0.23443356106351482,0.025814846055620424
VIP,0.9589272910132431,0.22535808692854778,0.35013055105477,0.9221068605877216,0.0016012312138151354,0.08674716526868967
LAMP5,1.7428961492967884e-14,8.373637450905031e-07,0.00021411840835173712,1.3894720377308292e-06,0.18870276552658424,0.07277085743903859
PAX6,1.7352298689354852e-16,0.0020715865506842754,0.4887272690741725,0.000458876605955257,0.07021066885893207,0.6221322286323494
SNCG,3.2673562117038175e-05,0.06377488291756386,0.17894769891057533,0.4765325561182011,0.7577470701995173,0.4725047195362404
