Feature name,HCPTotal,ExTotal,ExSupra,ExInfra,ExSupraTotal,ExSupraInfra
L1L3Genes,0.2573076923076923,0.24428571428571427,0.4448076923076923,0.4296,0.39340909090909093,0.495
L4L6Genes,0.24428571428571427,0.08249999999999999,0.4296,0.08249999999999999,0.2522727272727273,0.38175000000000003
L1L3ITGenes,0.24449999999999997,0.24449999999999997,0.49125,0.2935714285714286,0.38175000000000003,0.24449999999999997
L4L6ITGenes,0.25625,0.29500000000000004,0.4296,0.24428571428571427,0.24428571428571427,0.39340909090909093
HSEGenes,0.4633333333333333,0.495,0.32249999999999995,0.38175000000000003,0.38175000000000003,0.24428571428571427
