Feature name,HCPTotal,ExTotal,ExSupra,ExInfra,ExSupraTotal,ExSupraInfra
PVALB,0.4062857142857143,0.43472727272727274,0.3443478260869566,0.3443478260869566,0.3443478260869566,0.2854285714285714
SST,0.28,0.2854285714285714,0.4845,0.20700000000000002,0.38799999999999996,0.3443478260869566
VIP,0.43472727272727274,0.3443478260869566,0.37938461538461543,0.4453714285714286,0.1944,0.2854285714285714
LAMP5,0.1944,0.20700000000000002,0.1944,0.1944,0.37938461538461543,0.3443478260869566
PAX6,0.1944,0.3443478260869566,0.43472727272727274,0.2854285714285714,0.2854285714285714,0.43472727272727274
SNCG,0.20700000000000002,0.3443478260869566,0.3443478260869566,0.43472727272727274,0.4453714285714286,0.37938461538461543
