Feature name,HCPTotal,ExTotal,ExSupra,ExInfra,ExSupraTotal,ExSupraInfra
L1L3Genes,0.11149999999999999,0.0525,0.3855,0.34550000000000003,0.281,0.495
L4L6Genes,0.044,0.0045000000000000005,0.358,0.0055,0.0925,0.2545
L1L3ITGenes,0.076,0.0685,0.4585,0.137,0.2415,0.08149999999999999
L4L6ITGenes,0.10250000000000001,0.14750000000000002,0.34750000000000003,0.027,0.056999999999999995,0.2885
HSEGenes,0.417,0.4835,0.172,0.2535,0.2415,0.0445
