Feature name,HCPTotal,ExTotal,ExSupra,ExInfra,ExSupraTotal,ExSupraInfra
ThalamocorticalDistA,0.0645,0.206,0.006500000000000001,0.295,0.0135,0.0935
ThalamocorticalDistP,0.416,0.172,0.0345,0.175,0.0,0.0755
